Date,Open,High,Low,Close,Adj Close,Volume
19-12-2022,266.820007,268.910004,263.809998,265.700012,263.37735,2679800
20-12-2022,266.690002,267.679993,262.820007,264.75,262.435638,1609100
21-12-2022,264.880005,267.399994,264.25,266.26001,263.932465,2057000
22-12-2022,265.799988,266.170013,263.190002,265.26001,262.941193,1979100
23-12-2022,264.880005,265.290009,262.899994,263.920013,261.612915,1465500
27-12-2022,265.690002,266.609985,262.880005,263.390015,261.087555,1604700
28-12-2022,264.420013,265.619995,261.140015,261.420013,259.134766,1349500
29-12-2022,262.470001,264.880005,262.140015,263.160004,260.859558,1446400
30-12-2022,262.730011,263.230011,259.51001,262.640015,260.344086,1622000
03-01-2023,260.869995,262.600006,258.869995,261.649994,259.362732,2594800
04-01-2023,263.01001,265.01001,261,264.390015,262.078796,1773800
05-01-2023,264.070007,268,262.519989,266.859985,264.527191,2056000
06-01-2023,270.040009,276.820007,269.029999,275.200012,272.794312,2887800
09-01-2023,275.579987,275.579987,268.660004,270.119995,267.758698,2160700
10-01-2023,271.950012,274.609985,270.109985,273.880005,271.48584,1783400
11-01-2023,275.970001,276.839996,270.179993,272.910004,270.524323,2044400
12-01-2023,271.920013,272.649994,268.890015,270.920013,268.551727,1454100
13-01-2023,270.940002,272.230011,270.200012,271.730011,269.354645,1696800
17-01-2023,272.200012,273.829987,268.829987,269.420013,267.064819,2472800
18-01-2023,269.420013,270.519989,263.649994,264.390015,262.078796,2218100
19-01-2023,262,263.519989,260.929993,262.029999,259.73941,2090500
20-01-2023,262.029999,263.839996,259.869995,263.23999,260.938843,2574100
23-01-2023,264,264.730011,259.809998,260.970001,258.68869,2025000
24-01-2023,261.850006,262,257.519989,259.700012,257.42981,1596900
25-01-2023,260.089996,261.549988,256.019989,256.540009,254.297424,1910600
26-01-2023,256.540009,256.690002,253.009995,254.880005,252.651932,2522100
27-01-2023,254.869995,255.5,252.539993,253.649994,251.432663,2109900
30-01-2023,253.460007,254.160004,250.600006,251.589996,249.390671,2042800
31-01-2023,253.860001,253.860001,249.889999,252.399994,250.193588,3418300
01-02-2023,249.160004,249.550003,240,246.410004,244.255966,5344700
02-02-2023,243.779999,246.570007,236.369995,246.529999,244.374908,5489100
03-02-2023,249.960007,249.960007,242.210007,245.169998,243.026794,3073000
06-02-2023,245.360001,246.800003,243.449997,243.850006,241.718353,2196900
07-02-2023,243.020004,244.940002,241.419998,244,241.867035,2408000
08-02-2023,242.990005,243.559998,239.600006,240.199997,238.10025,2761200
09-02-2023,241.119995,243.460007,238.990005,240,237.901993,3056200
10-02-2023,241.919998,244.139999,240.410004,242.5,240.380142,2687200
13-02-2023,243.199997,243.830002,241.300003,243.660004,241.530014,2321900
14-02-2023,242.699997,243,239.110001,241.029999,241.029999,2015900
15-02-2023,240.210007,240.539993,238.729996,240.070007,240.070007,1783300
16-02-2023,238.460007,239.009995,234.039993,234.220001,234.220001,3291800
17-02-2023,235.339996,241.720001,233.710007,240.529999,240.529999,2978100
21-02-2023,240.789993,241.919998,238.199997,238.240005,238.240005,2524100
22-02-2023,240.300003,240.990005,235.75,236.160004,236.160004,2187600
23-02-2023,236.699997,237.860001,234.75,237.619995,237.619995,2211600
24-02-2023,236.830002,237.059998,233.119995,233.660004,233.660004,1853900
27-02-2023,235.220001,235.220001,232.889999,234.449997,234.449997,1723000
28-02-2023,233.630005,234.470001,231.600006,231.660004,231.660004,2615700
01-03-2023,230.369995,236.440002,230.139999,236.190002,236.190002,2441300
02-03-2023,236.119995,236.369995,233.899994,234.740005,234.740005,1777100
03-03-2023,235,235.889999,233.600006,234.809998,234.809998,2214500
06-03-2023,235,235.630005,233.639999,235.110001,235.110001,2591000
07-03-2023,235.110001,235.199997,228.350006,228.720001,228.720001,2362200
08-03-2023,230.160004,231.800003,227.369995,228.429993,228.429993,1842200
09-03-2023,229.490005,229.830002,225.399994,225.789993,225.789993,1736900
10-03-2023,226.770004,230.279999,225.630005,227.869995,227.869995,2661800
13-03-2023,231.179993,237.270004,230.5,233.179993,233.179993,3146000
14-03-2023,233.460007,233.460007,229.410004,230.580002,230.580002,3227100
15-03-2023,230.399994,235.570007,228.550003,234.899994,234.899994,3092300
16-03-2023,233.740005,234.660004,230.059998,234.570007,234.570007,2326000
17-03-2023,233.570007,233.809998,228.520004,229.789993,229.789993,7817000
20-03-2023,230.580002,235.160004,230.139999,234.720001,234.720001,2020800
21-03-2023,234.720001,235.279999,231.039993,232.949997,232.949997,2128600
22-03-2023,233.449997,233.949997,229.589996,229.830002,229.830002,1725100
23-03-2023,230.039993,234.100006,229.889999,233.100006,233.100006,2175700
24-03-2023,234.220001,238.5,233.009995,238.029999,238.029999,2547300
27-03-2023,239.610001,239.949997,235.070007,236.759995,236.759995,2129100
28-03-2023,237,238.679993,236.910004,238.479996,238.479996,1887800
29-03-2023,239.710007,241.589996,238.330002,241.029999,241.029999,2744000
30-03-2023,242.529999,242.809998,240.110001,241.5,241.5,2577000
31-03-2023,241.429993,242.399994,239.149994,241.75,241.75,2762500
03-04-2023,242,244.75,241.360001,244.440002,244.440002,2478700
04-04-2023,244.520004,248.110001,243.800003,247.529999,247.529999,2942800
05-04-2023,248.570007,253.710007,248.229996,253.369995,253.369995,2468000
06-04-2023,254.360001,255.429993,252.929993,253.320007,253.320007,2047800
10-04-2023,256.440002,256.440002,250.050003,250.899994,250.899994,1595600
11-04-2023,251.419998,253.080002,250.979996,251.429993,251.429993,1272800
12-04-2023,252.5,252.710007,248.880005,249.5,249.5,2268900
13-04-2023,248.600006,251.899994,248.270004,251.440002,251.440002,2020900
14-04-2023,250.619995,251.759995,248.960007,250,250,1866200
17-04-2023,250.889999,251.5,247.580002,248.070007,248.070007,1784800
18-04-2023,248.369995,249.009995,244.649994,246.089996,246.089996,1638800
19-04-2023,245.25,246.759995,244.369995,246.210007,246.210007,1246500
